id,MSB,LSB,name
0x700,31,0,WHEEL_SPEED_FRONT_L
0x700,63,32,WHEEL_SPEED_FRONT_R
0x701,31,0,WHEEL_SPEED_REAR_L
0x701,63,32,WHEEL_SPEED_REAR_R
0x710,15,0,TIRE_TEMP_FRONT_R
0x710,31,16,TIRE_TEMP_FRONT_L
0x711,15,0,TIRE_TEMP_REAR_R
0x711,31,16,TIRE_TEMP_REAR_L
0x720,15,0,COOLANT_MOTOR
0x720,31,16,COOLANT_RAD
0x720,47,32,COOLANT_MC
0x721,31,0,COOLANT_FLOW
0x730,15,0,SHOCK_POT_FRONT_L
0x730,31,16,SHOCK_POT_FRONT_R
0x731,15,0,SHOCK_POT_REAR_R
0x731,31,16,SHOCK_POT_REAR_L
0x740,15,0,DROP_LINK_LEFT
0x740,31,16,DROP_LINK_RIGHT
0x750,15,0,PUSHROD_FRONT_R
0x750,31,16,STEER_ROD_FRONT_R
0x750,47,32,PUSHROD_FRONT_L
0x750,63,48,STEER_ROD_FRONT_L
0x760,15,0,PUSHROD_REAR_R
0x760,31,16,TIEROD_REAR_R
0x760,47,32,PUSHROD_REAR_L
0x760,63,48,TIEROD_REAR_L
0x770,15,0,LCA_FRONT_LF
0x770,31,16,LCA_FRONT_LB
0x770,47,32,LCA_FRONT_RF
0x770,63,48,LCA_FRONT_RB
0x780,15,0,LCA_REAR_LF
0x780,31,16,LCA_REAR_LB
0x780,47,32,LCA_REAR_RF
0x780,63,48,LCA_REAR_RB
0x790,15,0,UCA_FRONT_LF
0x790,31,16,UCA_FRONT_LB
0x790,47,32,UCA_FRONT_RF
0x790,63,48,UCA_FRONT_RB
0x7a0,15,0,UCA_REAR_LF
0x7a0,31,16,UCA_REAR_LB
0x7a0,47,32,UCA_REAR_RF
0x7a0,63,48,UCA_REAR_RB
0x7b0,15,0,FRONT_TORSIONAL_ARB
0x7b1,15,0,REAR_TORSIONAL_ARB
0x7c0,15,0,STEERING_TORSION
0x7c0,31,16,STEERING_ANGLE
0x7d0,15,8,X_AXIS [15:8]
0x7d0,23,16,X_AXIS [7:0]
0x7d0,31,24,Y_AXIS [15:8] 
0x7d0,39,32,Y_AXIS [7:0]
0x7d0,47,40,Z_AXIS [15:8] 
0x7d0,55,48,Z_AXIS [7:0] 
0x7f0,7,0,L_WHEEL_SPD_ERROR
0x7f0,15,8,R_WHEEL_SPEED_ERROR
0x7f0,23,16,MAX11614_ERROR
0x7f0,31,24,MAX11616_ERROR
0x7f1,7,0,L_WHEEL_SPD_ERROR
0x7f1,15,8,R_WHEEL_SPEED_ERROR
0x7f1,23,16,MAX11614_ERROR
0x7f1,31,24,MAX11616_ERROR
0x7f1,39,32,COOL_SPD_ERROR
0x7d0,3,3,0: Accel
0x7d0,3,3,1: Gyro
0x7e0,7,7,FLAG_SPEED_CAN_MASK
0x7e0,6,6,FLAG_UCA_CAN_MASK 
0x7e0,5,5,FLAG_LCA_CAN_MASK   
0x7e0,4,4,FLAG_SHOCK_CAN_MASK  
0x7e0,3,3,FLAG_ARB_TORS_CAN_MASK 
0x7e0,2,2,FLAG_PUSH_ROD_CAN_MASK 
0x7e0,1,1,FLAG_COOLANT_CAN_MASK  
0x7e0,0,0,FLAG_DROP_LINK_CAN_MASK
